Статус,Регистрационен №,Име на читалище,Област,Община,Град/село,Адрес,Булстат,Връзка към сайт библиотеки,Телефон,Факс,E-mail,Председател,Секретар
Действащо,3555,"""Развитие-2013""",БЛАГОЕВГРАД,,СЕЛО ОГНЯНОВО,п.к.2947,176519536,http://bibliobg.com/index.php?act=community&do=detail&hash=1ecc221f30842618b7d429272a7347331828739e,,-,razvitie2013@abv.bg,Борис Людмилов Николов,Иван Валериев Ижбеков
Действащо,3642,"""Миролюбие - 2015""",ВАРНА,,СЕЛО ГАБЪРНИЦА,п.к.9227,176990805,http://bibliobg.com/index.php?act=community&do=detail&hash=653e46afd3e6b9b676be7115ada467fbacf64106,0893477656,-,mirolubie_2015@abv.bg,Иван Василев Калканджиев,Димитрина Петрова Петрова
Действащо,3556,"""Васил Левски -1943 -с. Желязно""",ПЛОВДИВ,,СЕЛО ЖЕЛЯЗНО,"""Сребрю,Бабаков"",5,,пк.4136",176529719,http://bibliobg.com/index.php?act=community&do=detail&hash=a52244f6964b2706e23abba0674adbab16d395b6,,-,chitalishte_jelyazno@abv.bg,Марияна Иванова Факова,Красимира Генова Цветкова
Действащо,3570,"""Константин Константинов-2013""",СЛИВЕН,,ГРАД СЛИВЕН,"""Великокняжевска"",23,,п.к.8800",176490084,http://bibliobg.com/index.php?act=community&do=detail&hash=e43867dfa7845148236ea4968d30e357374e1c39,"0885, 60, 87, 26",-0899912321,"k.konstantinov_sl@abv.bg, jajda_sliven@abv.bg",Железчо Атанасов Кондев,Галина Славова Генова
Действащо,3564,"""Георги Сава Раковски - 2013 г.""",БУРГАС,,СЕЛО РАКОВСКОВО,п.к.8257,176596479,http://bibliobg.com/index.php?act=community&do=detail&hash=87ca16e19bd1b38625f81b3389882724a91cf7dd,"0893, 303, 610",-,chitalishte_rakovskovo@abv.bg,Димитринка Георгиева Янева,Атанаска Кирязова
Действащо,3567,"""Литературна София 2013""",СОФИЯ-ГРАД,,ГРАД СОФИЯ,"""Московска"",13,,п.к.1000",176624868,http://bibliobg.com/index.php?act=community&do=detail&hash=61c249ccf1aaa20f48ee0d336a3c471714bcc639,0886902341,-,literaturnasofia@abv.bg,Георги Любенов Ралчев,Петър Илиев Китински
Действащо,3566,"""Пенко Пенков-2013""",ХАСКОВО,,СЕЛО УЗУНДЖОВО,"""Иван,Губеров"",1,,п.к.6350",176539478,http://bibliobg.com/index.php?act=community&do=detail&hash=46b526325d0501fdc826f9500b010c70b80f304d,0878909398,-,dinka.angelova_91@abv.bg,Кръстю Атанасов Кръстев,Динка Милчева Ангелова
Действащо,3491,"""Борба 2010""",ВЕЛИКО ТЪРНОВО,,СЕЛО ДЕДИНА,п.к.5089,175988922,http://bibliobg.com/index.php?act=community&do=detail&hash=0609f858b355fbeb191560e1dab2ed5cdfda6723,061535911,-,chitalishte_dedina@abv.bg,Мариета Коларова,Вили Богданова Георгиева
Действащо,3568,"""Славяни-2013""",ВИДИН,,ГРАД ВИДИН,"ж.к.,""Крум,Бъчваров"",,бл.3,,вх.,Б,,ет.,6,,ап.,34,п.к.3700",176628707,http://bibliobg.com/index.php?act=community&do=detail&hash=f492dbe0186f514b6155eb256acf53222c9e8356,0897667262,-,"deian.slavchev@abv.bg, ivaylo_zhivkov@abv.bg, ralitsa_vidin@abv.bg",Биляна Веселинова Костова-Кирилова,Анна Радославова Георгиева
Действащо,3565,"""Христо Кючуков-2013""",СЛИВЕН,,ГРАД СЛИВЕН,"бул.,""Цар,Освободител"",10,,п.к.8800",176456541,http://bibliobg.com/index.php?act=community&do=detail&hash=e6157948f60beaf7b0cfa31c2fc0602505fd5a3f,"0884670607, 0895737478",-,h.kuchukov_sl@abv.bg,Атанаска Георгиева Мерджанова,Петя Пеева Русева
Действащо,3436,"""Възраждане-село Баничан""",БЛАГОЕВГРАД,,СЕЛО БАНИЧАН,"-,п.к.2905",175746449,http://bibliobg.com/index.php?act=community&do=detail&hash=c6902f56c140c8ba4e6fb7ca7fc17a4b752ae003,0895691420,-,chitalishte_vazrazdane@abv.bg,Стойчо Благоев Петков,Диана Пелтекова
Действащо,3562,"""Ангел Каралийчев - 2013""",ВЕЛИКО ТЪРНОВО,,СЕЛО МИРОВО,"""Търговска"",5,,п.к.5158",176589577,http://bibliobg.com/index.php?act=community&do=detail&hash=25431ed1608da697b8c3a01e83c5c8d310178278,0988865889,-,chitalishte_mirovo@abv.bg,Красимира Недялкова Очкова,Иванка Цвяткова Пенчева
Действащо,3439,"""Васил Левски - 1928""",ХАСКОВО,,СЕЛО БЪЛГАРИН,п.к.6450,175798524,http://bibliobg.com/index.php?act=community&do=detail&hash=98d2f95b1a7dc7c0481bca1bc19606d4618368ab,0886446122,-,chitalischte_bulgarin@abv.bg,Анелия Русева Михова,Светла Веселинова Сидерова
Закрито,3563,"""Д-р Георги Китов-2013""",ХАСКОВО,,СЕЛО АЛЕКСАНДРОВО,п.к.6351,176496646,http://bibliobg.com/index.php?act=community&do=detail&hash=0d4a9187faf703dd89ceb17b3f7340fa203b9bb4,0878419909,-,ygogova@gmail.com,Гита Петрова Атанасова,Юлия Стефанова Гогова
Действащо,3438,Зора-2,ВИДИН,,СЕЛО ПЕРИЛОВЕЦ,"ул.,""Четвърта"",19",105589945,http://bibliobg.com/index.php?act=community&do=detail&hash=43cc97d8167ff272af4e606f5f86c7cb55dd42ba,,-,,Станимир Данков Стайков,-
Действащо,3437,"""Съзнание - 2009 г.""",БУРГАС,,СЕЛО РУСОКАСТРО,"""Цвятко,Радойнов"",38,п.к.8105",175753899,http://bibliobg.com/index.php?act=community&do=detail&hash=d91d741c27428783fc917d48150a0ebf69f8c0c4,"0896, 586, 751",,saznanie_2009@abv.bg,Станислава Христова Петрова,Петя Димитрова Кръстева
Действащо,3434,"""Бъдеще за Ловеч 2009""",ЛОВЕЧ,,ГРАД ЛОВЕЧ,"ж.к.,""Червен,бряг"",3,,п.к.5500",175744494,http://bibliobg.com/index.php?act=community&do=detail&hash=f9d7657dcb8453b7691780ae56aa2fcbb23c82ce,"068, 600, 424, 0887399581",-,v.taslakov@gmail.com,Теодор Цанков Цанов,Ирена Веселинова Кунева
Действащо,3450,"""Просвета-1937""",КЪРДЖАЛИ,,СЕЛО РУСАЛСКО,п.к.6795,108523605,http://bibliobg.com/index.php?act=community&do=detail&hash=0d5b47373159b4be1f618808cb60417a05985709,,-,chitalishte_rusalsko@abv.bg,Исмет Исмаил Мустафа,Сали Мюмюн Сали
Действащо,3435,"""Любословие-2009""",СОФИЯ,,ГРАД САМОКОВ,"""Белмекен"",№,26,п.к.2000",175748304,http://bibliobg.com/index.php?act=community&do=detail&hash=188c3859551e47d556b447d47b1a624fed0908f9,"072260289, 0887115725",-,"gerda11@abv.bg, pepa_kajmakanova@abv.bg",Весела Георгиева Колешанова,Любослава Михайлова Кьосева
Действащо,3449,"""Гоце Делчев 2009""",РУСЕ,,ГРАД РУСЕ,"""Пиротска"",5,,п.к.7000",175844886,http://bibliobg.com/index.php?act=community&do=detail&hash=3c6396d481db1fc4126b16236e80756ba0de85ed,0886996812,-,gocedelchev_2009@abv.bg,Деян Ангелов Стайков,Асен Иванов Даскалов
Действащо,3447,Фар 2010,ВАРНА,,ГРАД ВАРНА,"район,""Одесос"",,ул.""Цар,Калоян"",5",175845187,http://bibliobg.com/index.php?act=community&do=detail&hash=cd5f34933d6749f72d9c6593f04b701f7e592222,,-,,Александър Тодоров Ганчев,Руска Николова Йорданова
Действащо,3448,"""Родолюбие-2009""",ХАСКОВО,,СЕЛО ЛОЗЕН,п.к.6552,175845319,http://bibliobg.com/index.php?act=community&do=detail&hash=642334e8d2e2fb0d7ce0751ad685956b0472bca6,"0887259145, 0887637423",-,helena_666@abv.bg,Еленка Желева Атанасова,Николина Добрева Герджикова
Действащо,3446,"""Искра-2009""",ХАСКОВО,,СЕЛО БОРИСЛАВЦИ,п.к.6478,175821866,http://bibliobg.com/index.php?act=community&do=detail&hash=f094fe1bfc0b92576a0829302cb84f704d74dc82,"0882, 449418, 0876, 111505",-,iskra_2009@abv.bg,Желязка Станкова Янакиева,Димитър Кьосев
Действащо,3442,"""Христо Смирненски село Рогозиново -2009 година""",ХАСКОВО,,СЕЛО РОГОЗИНОВО,-п.к.6469,175812988,http://bibliobg.com/index.php?act=community&do=detail&hash=eb8e48d1b61cd78c9d8560fbf28c359ec7b796bb,"0878617080, 0887806886",-,chitalishte_rogozinovo@abv.bg,Кремена Тодорова Димитрова,Галя Иванова Здравчева
Действащо,3444,"""Пробуда-1930""",ВРАЦА,,СЕЛО КУРНОВО,"""Иван,Вазов"",25,,п.к.3138",175833516,http://bibliobg.com/index.php?act=community&do=detail&hash=93cfb415c6f56afdc2c66728d1b04888844b3354,"0885102050, 0888029402, 08960663380",-,probuda_kurnovo@abv.bg,Росица Александрова Илиева,Галина Борисова Гергова
Действащо,3445,"""Васил Левски 1927""",ПЛОВДИВ,,ГРАД КАРЛОВО,"""Стара,планина"",1,,кв.,Сушица,,п.к.4303",000456897,http://bibliobg.com/index.php?act=community&do=detail&hash=cd9f2ced1e412998450c2e538f30fd523b0d3505,"0885123358, 0896771885",-,sushica@abv.bg,Георги Димитров Андонов,Пенка Дечева Караджова
Действащо,3443,"""Зора с.Пъстрогор 2009 г.""",ХАСКОВО,,СЕЛО ПЪСТРОГОР,п.к.6519,175816253,http://bibliobg.com/index.php?act=community&do=detail&hash=21ed1077a917d2aa00eab1da08afecd3f05c7ced,"0876, 344059, 0886, 000729",-,kamendimitrov38@gmail.com,Василка Господинова Димова,Илия Илиев
Действащо,3441,"""Съгласие-2009 с. Атолово""",ЯМБОЛ,,СЕЛО АТОЛОВО,"""Тракия"",2,,п.к.8683",175811181,http://bibliobg.com/index.php?act=community&do=detail&hash=c67a74972a5e92922c325157b66554c1a7f33b82,0889353760,-,chit_atolovo@abv.bg,Божил Иванов Стоянов,Михаела  Нейку
Действащо,3409,Любен Каравелов,СОФИЯ,,СЕЛО ГУЦАЛ,п.к.2045,,http://bibliobg.com/index.php?act=community&do=detail&hash=da39a3ee5e6b4b0d3255bfef95601890afd80709,"0899872188, 071220",,,Стоян Добрев Йорданов,Велка Стоянова
Действащо,3440,"""Герлово-1943""",ШУМЕН,,СЕЛО ТУШОВИЦА,"""Бузлуджа"",1,п.к.9884",000923386,http://bibliobg.com/index.php?act=community&do=detail&hash=839008a7926dff692acc931f65ab9c4fccfd4c57,"05394, 0885301443, 0896116609",-,barni_musov@abv.bg,Хъкмет Мурадали Сами,Емине Хюсеинова Мусова
Действащо,3407,Орфей,БЛАГОЕВГРАД,,СЕЛО БУНЦЕВО,п.к.2792,101149101,http://bibliobg.com/index.php?act=community&do=detail&hash=df7430256b11a64dbaa260dc11afdb8597a33550,,,,Салих Мехмед Карафеиз,
Действащо,3410,"""Кузман Шапкарев-2009""",СОФИЯ-ГРАД,,ГРАД СОФИЯ,"""Пиротска"",5,,ет.2,,р-н,""Възраждане"",п.к.1301",175654506,http://bibliobg.com/index.php?act=community&do=detail&hash=ded4e33bcb01d29f9b5198dfb5ff298c074a13ce,,-,elbugarcheva@gmail.com,Александър Георгиев Гребенаров,Елена Бугарчева
Действащо,3408,Осоговски лъч 2009,КЮСТЕНДИЛ,,СЕЛО ГОРНА БРЕСТНИЦА,п.к.2575,175646438,http://bibliobg.com/index.php?act=community&do=detail&hash=6d1d7d9cfa0c4d464009fbe8aece4fe24e6c93b5,"0882, 885, 056, 07921, 2320",-,,Емил Стоянов Яначков,-
Действащо,3406,Дядо Фильо-2009,ГАБРОВО,,СЕЛО БОАЗЪТ,п.к.5453,175643404,http://bibliobg.com/index.php?act=community&do=detail&hash=1208a1d8e3e77da57922c3afe1786cb9cc91e693,,,,Марийка Иванова Недялкова,Надка Петрова
Действащо,3405,Алтернатива 2009,СОФИЯ,,СЕЛО ЧЕЛОПЕЧ,"ул.,""Ген,Брок"",№,1,п.к.2087",175665328,http://bibliobg.com/index.php?act=community&do=detail&hash=7145be0fc2c6b994bd2d6253dbd9906d491579d7,,-,chitalishte.alternativa@abv.bg,Пламен Димитров Кунчев,-
Действащо,3404,"""Съзнание 1921""",ВРАЦА,,СЕЛО ДОБРУША,"""Георги,Димитров"",17,,п.к.,3069",175618296,http://bibliobg.com/index.php?act=community&do=detail&hash=a49416885d4630410a683b74d1611c2e208a2a8c,0877050695,-,saznanie_1921_dobr@abv.bg,Филданка Иванова Гергова,Янка Атанасова Конова
Действащо,3403,"""Просвета -1927""",БУРГАС,,СЕЛО ГРАМАТИКОВО,"""Илия,Бояджиев"",1,,п.к.8166",000045180,http://bibliobg.com/index.php?act=community&do=detail&hash=56438542aaa97dede2fbf902bc9615bed0229bf8,"05958, 224, 0885, 507, 257",,veleka_gr@abv.bg,Стоян Николов Христов,Екатерина Гачева Бораджиева
Действащо,3401,Св.Св.Кирил и Методий,ДОБРИЧ,,СЕЛО ПРИЛЕП,"п.к.,9352",,http://bibliobg.com/index.php?act=community&do=detail&hash=da39a3ee5e6b4b0d3255bfef95601890afd80709,,,,Стефанка Панайотова Михова,
Действащо,3402,Лъч,ПЕРНИК,,СЕЛО РАДИБОШ,"п.к.2447,,СЕЛО,РАДИБОШ,,ОБЩИНА,РАДОМИР,,ОБЛАСТ,ПЕРНИК",000380613,http://bibliobg.com/index.php?act=community&do=detail&hash=ecf4dffe8f0cf9b952b21223a71a0cb5cfdfcd7c,,НЯМА,,Стоил Александров Игов,НЯМА
Действащо,3400,"""Бяло море-1929""",КЪРДЖАЛИ,,СЕЛО ЧЕРНИЧЕВО,п.к.6954,175649509,http://bibliobg.com/index.php?act=community&do=detail&hash=34ba324d021adc5dd91cf63dbe0ce2bf0c21db96,,-,bqlo_more1929@abv.bg,Динко Иванов Дяков,-
Действащо,3489,"""Отец Паисий 1901""",ДОБРИЧ,,СЕЛО ЕЗЕРЕЦ,"""Първа"",15,,п.к.9687",175981123,http://bibliobg.com/index.php?act=community&do=detail&hash=895a107045ded473e45d325f7ee6398ddfeeecc2,0886411863,-,nchpaisii@abv.bg,Каро Вичев Великов,Елен Сабатини
Действащо,3399,"""Светлина-1932 г.""",ПЕРНИК,,СЕЛО СВЕТЛЯ,"п.к.,2451",000380734,http://bibliobg.com/index.php?act=community&do=detail&hash=69079f8b778eec038236e58ffa3322211bcd5e94,"0885275514, 0899318782",-,svetlina_svetlia@abv.bg,Георги Георгиев Панайотов,Мая Василева Кирилова
Действащо,3490,"""Христо Ботев -2010 - с. Горно Камарци""",СОФИЯ,,СЕЛО ГОРНО КАМАРЦИ,п.к.2138,175904486,http://bibliobg.com/index.php?act=community&do=detail&hash=2550e54f938efbdb6ecf57533be5a2267d0a7187,0888438448,-,"chitalishte94@gmail.com, n4hr.botev2010@abv.bg",Илия Асенов Димитров,Трайчо Асенов
Действащо,3487,"""Никола Вапцаров-2010""",БЛАГОЕВГРАД,,СЕЛО ФИЛИПОВО,п.к.2775,175953259,http://bibliobg.com/index.php?act=community&do=detail&hash=5b5b829e001b9db08c56f0bfa8cadf5a9ed4aae9,0887302688,-,nikolavapcarov_filipovo@abv.bg,Ася Страхилова Туталъ,Фейка Фаик Молла
Действащо,3488,"""Светлина село Поляново 2010 година""",ХАСКОВО,,СЕЛО ПОЛЯНОВО,п.к.6464,175898186,http://bibliobg.com/index.php?act=community&do=detail&hash=2a33789d0b98441bffaa9aac06a14614f081a2a2,0878567055,-,antoniq.geneva@abv.bg,Антония Добрева Генева,Недялка Колева
Действащо,3486,"""Стара Варна 2010""",ВАРНА,,ГРАД ВАРНА,"""Цар,Калоян"",№,5,,п.к.9000",175960150,http://bibliobg.com/index.php?act=community&do=detail&hash=ca94aa88e3305adbf902b42641c2f42e9afb92a9,,-,stoeva_r@abv.bg,Ламбрин Димчев Сотиров,Руска Николова Йорданова
Действащо,3485,"""Христо Ботев 1928г.""",ХАСКОВО,,СЕЛО СПАХИЕВО,-,126167192,http://bibliobg.com/index.php?act=community&do=detail&hash=9619ca8e66fd90c1df591db5de1f091dc19b0e37,0887925286,-,hh_haskovo@abv.bg,Кирил Василев Христов,Пенка Кирева Петкова
Действащо,3481,"""Христо Ботев-1928""",БУРГАС,,ГРАД БУРГАС,"""Хаджи,Димитър"",7,,кв.Банево,,п.к.8125",000044979,http://bibliobg.com/index.php?act=community&do=detail&hash=7a0941461abcb926aa8bc78bb870be05385113d3,"0895, 506, 233",-,hristobotev28@abv.bg,Янка Николова Атанасова,Станка Николова Вангелова
Действащо,3484,д-р Христо Аджаров 2010-Пловдив,ПЛОВДИВ,,ГРАД ПЛОВДИВ,"""Генерал,Тошев"",4",175962774,http://bibliobg.com/index.php?act=community&do=detail&hash=3ef85927eed9217579e3b022cf1a0115a315dee3,,-,,Степан Манук Ерамян,Валеинтин Ангелов Кирчев
Действащо,3482,"""Честолюбие-2010 г.""",ПЛОВДИВ,,ГРАД РАКОВСКИ,"""Детелина"",2,п.к.4150",175952164,http://bibliobg.com/index.php?act=community&do=detail&hash=bab377782c9843f0fc2fcfc7a5a53f7195b70315,0894308482,-,chitalishte@abv.bg,Александър Венков Алексиев,Йовко Милков Мекерешки
Действащо,17,"""Йордан Йовков-1870 година""",ДОБРИЧ,,ГРАД ДОБРИЧ,"""25-ти,септември"",44,,п.к.9300",000843029,http://bibliobg.com/index.php?act=community&do=detail&hash=28e4ce3f1bef6bf3ac6ba71964328f9a5782c4b0,"058, 603531, 0885504954",-,chitalishte1870.dch@gmail.com,Божанка Стойчева Вуцова,Красимир Тодоров Колев-Масурски
Действащо,3433,"""Светлина-1907""",БУРГАС,,СЕЛО СУХОДОЛ,п.к.8328,000045611,http://bibliobg.com/index.php?act=community&do=detail&hash=9aeee45ad0d9587accbad6d3ebb55c9545ed61f8,"0555, 02, 267",-,svetlina.suhodol@abv.bg,Радка Вълкова Димова,Данка Хубенова Димитрова
Действащо,3431,"""Митьо Станев-1929""",СТАРА ЗАГОРА,,СЕЛО МАЛКО КАДИЕВО,"п.к.,6052",000805384,http://bibliobg.com/index.php?act=community&do=detail&hash=11009381b213d9110b1a0b47aa86589f26514d8e,"0894629196, 0885667309",-,valq_atanasov@abv.bg,Емануел Динков Тенев,Валентина Атанасова Милева
