Номер,Линк,Име на читалище,Град/село,Община,Област
1673,?act=community&do=detail&id=1486&reg_num=1673,Иван Вазов-1911,СЕЛО СТОЯН МИХАЙЛОВСКИ,НОВИ ПАЗАР,ШУМЕН
1674,?act=community&do=detail&id=1487&reg_num=1674,Напредък,СЕЛО БЕДЖЕНЕ,НОВИ ПАЗАР,ШУМЕН
1675,?act=community&do=detail&id=1488&reg_num=1675,Напредък -1928,СЕЛО ВОЙВОДА,НОВИ ПАЗАР,ШУМЕН
1676,?act=community&do=detail&id=1489&reg_num=1676,Развитие-1908,СЕЛО МИРОВЦИ,НОВИ ПАЗАР,ШУМЕН
1677,?act=community&do=detail&id=1490&reg_num=1677,Климент Охридски,СЕЛО ПИСАРЕВО,НОВИ ПАЗАР,ШУМЕН
1678,?act=community&do=detail&id=3024&reg_num=1678,Просвета-1930г.,СЕЛО ПЛОСКА МОГИЛА,СТАРА ЗАГОРА,СТАРА ЗАГОРА
1679,?act=community&do=detail&id=1491&reg_num=1679,Искърски пролом,СЕЛО ЛАКАТНИК,СВОГЕ,СОФИЯ
1680,?act=community&do=detail&id=1492&reg_num=1680,Христо Ботев,СЕЛО ЛУКОВО,СВОГЕ,СОФИЯ
1681,?act=community&do=detail&id=1493&reg_num=1681,Пробуда-1929 год.,СЕЛО ПИЩИГОВО,ПАЗАРДЖИК,ПАЗАРДЖИК
1682,?act=community&do=detail&id=3025&reg_num=1682,Възраждане - 1928,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
1683,?act=community&do=detail&id=1494&reg_num=1683,Елин Пелин -1929,СЕЛО ЕЛЕШНИЦА,ЕЛИН ПЕЛИН,СОФИЯ
1684,?act=community&do=detail&id=1495&reg_num=1684,Васил Левски 1921г.,СЕЛО БЪДЕЩЕ,СТАРА ЗАГОРА,СТАРА ЗАГОРА
1685,?act=community&do=detail&id=1496&reg_num=1685,Просвета-1927 г.,СЕЛО ЕЛЕНИНО,СТАРА ЗАГОРА,СТАРА ЗАГОРА
1686,?act=community&do=detail&id=1497&reg_num=1686,Изгрев 1926,СЕЛО ВЪРБИЦА,ПЛЕВЕН,ПЛЕВЕН
1687,?act=community&do=detail&id=1498&reg_num=1687,Просвета - 1900,ГРАД ДЕВНЯ,ДЕВНЯ,ВАРНА
1688,?act=community&do=detail&id=1499&reg_num=1688,Светлина 1885,СЕЛО ЕМЕН,ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО
1689,?act=community&do=detail&id=1500&reg_num=1689,Надежда -1997,ГРАД КЮСТЕНДИЛ,КЮСТЕНДИЛ,КЮСТЕНДИЛ
1690,?act=community&do=detail&id=1501&reg_num=1690,Светлина -1948 Богутево,СЕЛО БОГУТЕВО,ЧЕПЕЛАРЕ,СМОЛЯН
1691,?act=community&do=detail&id=1502&reg_num=1691,Христо Ботев-1934,СЕЛО БЕЛИ БРОД,БОЙЧИНОВЦИ,МОНТАНА
1692,?act=community&do=detail&id=1503&reg_num=1692,Дядо Стойно-1927,СЕЛО ПОПОВЦИ,ГАБРОВО,ГАБРОВО
1693,?act=community&do=detail&id=1504&reg_num=1693,Просвета -1925 - Рогозен,СЕЛО РОГОЗЕН,ХАЙРЕДИН,ВРАЦА
1694,?act=community&do=detail&id=1505&reg_num=1694,Христо Ботев -1888,СЕЛО ВЪРБОВКА,ПАВЛИКЕНИ,ВЕЛИКО ТЪРНОВО
1695,?act=community&do=detail&id=1506&reg_num=1695,Васил Левски -1929,СЕЛО СТАЛЕВО,ДИМИТРОВГРАД,ХАСКОВО
1696,?act=community&do=detail&id=1507&reg_num=1696,Пробуда-1928,СЕЛО ЗМЕЙОВО,СТАРА ЗАГОРА,СТАРА ЗАГОРА
1697,?act=community&do=detail&id=1508&reg_num=1697,Отец Паисий-1947,ГРАД СТАРА ЗАГОРА,СТАРА ЗАГОРА,СТАРА ЗАГОРА
1698,?act=community&do=detail&id=1509&reg_num=1698,Железник-1988,ГРАД СТАРА ЗАГОРА,СТАРА ЗАГОРА,СТАРА ЗАГОРА
1699,?act=community&do=detail&id=1510&reg_num=1699,Христо Ботев 1908 - Русе,ГРАД РУСЕ,РУСЕ,РУСЕ
1700,?act=community&do=detail&id=1511&reg_num=1700,Зора -1945,ГРАД ЯМБОЛ,ЯМБОЛ,ЯМБОЛ
1701,?act=community&do=detail&id=1512&reg_num=1701,Христо Ботев 1927-Елисейна,СЕЛО ЕЛИСЕЙНА,МЕЗДРА,ВРАЦА
1702,?act=community&do=detail&id=1513&reg_num=1702,Наука-1919,СЕЛО ЛИК,МЕЗДРА,ВРАЦА
1703,?act=community&do=detail&id=1514&reg_num=1703,Пробуда 1928-Върбешница,СЕЛО ВЪРБЕШНИЦА,МЕЗДРА,ВРАЦА
1704,?act=community&do=detail&id=1515&reg_num=1704,Просвета - Лесковец 1927,СЕЛО ЛЕСКОВЕЦ,ОРЯХОВО,ВРАЦА
1705,?act=community&do=detail&id=1516&reg_num=1705,Н.Й.Вапцаров -1927г. - гр.Хисаря,ГРАД ХИСАРЯ,ХИСАРЯ,ПЛОВДИВ
1706,?act=community&do=detail&id=3026&reg_num=1706,Отец Паисий 1936,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
1707,?act=community&do=detail&id=1517&reg_num=1707,Слънце-1927,СЕЛО РАЛЕВО,ПЛЕВЕН,ПЛЕВЕН
1708,?act=community&do=detail&id=1518&reg_num=1708,Херион -1926,СЕЛО ГОРТАЛОВО,ПЛЕВЕН,ПЛЕВЕН
1709,?act=community&do=detail&id=1519&reg_num=1709,Христо Ботев - 1940 год.,СЕЛО ПОЛКОВНИК МИНКОВО,ДОБРИЧКА,ДОБРИЧ
1710,?act=community&do=detail&id=3027&reg_num=1710,Свети Климент Охридски-1930,СЕЛО МОГИЛА,СТАРА ЗАГОРА,СТАРА ЗАГОРА
1711,?act=community&do=detail&id=1520&reg_num=1711,Зора-1897 г. с. Езерово,СЕЛО ЕЗЕРОВО,ПЪРВОМАЙ,ПЛОВДИВ
1712,?act=community&do=detail&id=1521&reg_num=1712,Иван Ангелов Грозданов-1927г.,СЕЛО АЛЕКО КОНСТАНТИНОВО,ПАЗАРДЖИК,ПАЗАРДЖИК
1713,?act=community&do=detail&id=3028&reg_num=1713,Ведрина-1932,ГРАД СОФИЯ,СТОЛИЧНА,СОФИЯ-ГРАД
1714,?act=community&do=detail&id=1522&reg_num=1714,Никола Вапцаров-1956,СЕЛО ТОМПСЪН,СВОГЕ,СОФИЯ
1715,?act=community&do=detail&id=1523&reg_num=1715,Светлина -1911,СЕЛО РАВНА,ПРОВАДИЯ,ВАРНА
1716,?act=community&do=detail&id=1524&reg_num=1716,Димитър Благоев-1963,СЕЛО ПРИПЕК,ДЖЕБЕЛ,КЪРДЖАЛИ
1886,?act=community&do=detail&id=1679&reg_num=1886,Единство 1870,СЕЛО ЖЕРАВНА,КОТЕЛ,СЛИВЕН
1887,?act=community&do=detail&id=1680&reg_num=1887,Пробуда -1937,СЕЛО ЗИМОВИНА,СТАМБОЛОВО,ХАСКОВО
1888,?act=community&do=detail&id=1681&reg_num=1888,Пробуда,СЕЛО ОСТРА МОГИЛА,СТАРА ЗАГОРА,СТАРА ЗАГОРА
1889,?act=community&do=detail&id=1682&reg_num=1889,Наука 1928,СЕЛО ИНДЖЕ ВОЙВОДА,СОЗОПОЛ,БУРГАС
1890,?act=community&do=detail&id=1683&reg_num=1890,Просвета -1927 - Лиляче,СЕЛО ЛИЛЯЧЕ,ВРАЦА,ВРАЦА
1891,?act=community&do=detail&id=1684&reg_num=1891,Пробуда 1944,СЕЛО БЯЛ ИЗВОР,АРДИНО,КЪРДЖАЛИ
1892,?act=community&do=detail&id=1685&reg_num=1892,Али Ямурлов -1938,СЕЛО МЕДОВЕЦ,ДЪЛГОПОЛ,ВАРНА
1893,?act=community&do=detail&id=3042&reg_num=1893,Просвета 1927,СЕЛО ГРАМАЖДАНО,КЮСТЕНДИЛ,КЮСТЕНДИЛ
1894,?act=community&do=detail&id=1686&reg_num=1894,Пробуда-1927г.,СЕЛО КАЗАШКА РЕКА,АВРЕН,ВАРНА
1895,?act=community&do=detail&id=1687&reg_num=1895,Светлина 1952,СЕЛО ЧИЛИК,КЪРДЖАЛИ,КЪРДЖАЛИ
1896,?act=community&do=detail&id=1688&reg_num=1896,Селска пробуда-1930г.,СЕЛО НЕСЛА,ДРАГОМАН,СОФИЯ
1897,?act=community&do=detail&id=1689&reg_num=1897,Алеко Константинов-1952г.,СЕЛО ЗВЕЗДЕЛ,МОМЧИЛГРАД,КЪРДЖАЛИ
1898,?act=community&do=detail&id=1690&reg_num=1898,Христо Смирненски-1970,СЕЛО ЗАГОРСКО,МОМЧИЛГРАД,КЪРДЖАЛИ
1765,?act=community&do=detail&id=1567&reg_num=1765,Съзнание 1928,СЕЛО ХАН КРУМ,ВЕЛИКИ ПРЕСЛАВ,ШУМЕН
1766,?act=community&do=detail&id=1568&reg_num=1766,Отец Паисий-1912,СЕЛО ОСТРИЦА,ДВЕ МОГИЛИ,РУСЕ
1767,?act=community&do=detail&id=1569&reg_num=1767,Развитие -1921,СЕЛО ТАТАРИ,БЕЛЕНЕ,ПЛЕВЕН
1768,?act=community&do=detail&id=1570&reg_num=1768,Сила -1919,СЕЛО МОРАВКА,АНТОНОВО,ТЪРГОВИЩЕ
1769,?act=community&do=detail&id=1571&reg_num=1769,Пробуда-1934,СЕЛО ЧАРДА,СТРАЛДЖА,ЯМБОЛ
1770,?act=community&do=detail&id=1572&reg_num=1770,Пробуда -1928,СЕЛО МОГИЛА,ТУНДЖА,ЯМБОЛ
1771,?act=community&do=detail&id=1573&reg_num=1771,Христо Ботев -1927г.,СЕЛО ЗЛАТНА ПАНЕГА,ЯБЛАНИЦА,ЛОВЕЧ
1772,?act=community&do=detail&id=1574&reg_num=1772,Рало-1891,ГРАД ВЪЛЧЕДРЪМ,ВЪЛЧЕДРЪМ,МОНТАНА
1773,?act=community&do=detail&id=3034&reg_num=1773,Пробуда-1928 год.,СЕЛО БЕНКОВСКИ,СТАРА ЗАГОРА,СТАРА ЗАГОРА
1774,?act=community&do=detail&id=1575&reg_num=1774,Самообразование -1911,СЕЛО ОСТРЕЦ,ТЪРГОВИЩЕ,ТЪРГОВИЩЕ
1775,?act=community&do=detail&id=1576&reg_num=1775,Просвета,СЕЛО БРЕЗЕ,СВОГЕ,СОФИЯ
1776,?act=community&do=detail&id=1577&reg_num=1776,Селско събуждане 1899,СЕЛО МОГИЛИНО,ДВЕ МОГИЛИ,РУСЕ
1725,?act=community&do=detail&id=1533&reg_num=1725,Йордан Йовков-1896,СЕЛО КРАСЕН,ГЕНЕРАЛ ТОШЕВО,ДОБРИЧ
1726,?act=community&do=detail&id=1534&reg_num=1726,Иван Вазов -1946,ГРАД ГЕНЕРАЛ ТОШЕВО,ГЕНЕРАЛ ТОШЕВО,ДОБРИЧ
1727,?act=community&do=detail&id=1535&reg_num=1727,Христо Ботев-1942,СЕЛО РОГОЗИНА,ГЕНЕРАЛ ТОШЕВО,ДОБРИЧ
1728,?act=community&do=detail&id=1536&reg_num=1728,Александър Гичев -1907,СЕЛО ВАСИЛЕВО,ГЕНЕРАЛ ТОШЕВО,ДОБРИЧ
1729,?act=community&do=detail&id=1537&reg_num=1729,Стефан Караджа -1941г.,СЕЛО ЧЕРНООКОВО,ГЕНЕРАЛ ТОШЕВО,ДОБРИЧ
